Channel Title,Channel Link,sample_count,has_min_10_videos,pct_under_3min,error
deepfocuslens,https://www.youtube.com/@deepfocuslens,20,True,0.0,
Chris Stuckmann,https://www.youtube.com/@chrisstuckmann,20,True,0.0,
Sean Chandler Talks About,https://www.youtube.com/@SeanChandlerTalksAbout,20,True,10.0,
Every Frame a Painting,https://www.youtube.com/@everyframeapainting,20,True,5.0,
Lessons from the Screenplay,https://www.youtube.com/@LessonsfromtheScreenplay,20,True,10.0,
StudioBinder,https://www.youtube.com/@StudioBinder,20,True,0.0,
Pete Peppers,https://www.youtube.com/@PetePeppers1,20,True,0.0,
The Book Leo,https://www.youtube.com/@TheBookLeo,20,True,0.0,
BooksandLala,https://www.youtube.com/@BooksandLala,20,True,0.0,
A Clockwork Reader,https://www.youtube.com/@AClockworkReader,20,True,0.0,
PeruseProject,https://www.youtube.com/@PeruseProject,20,True,0.0,
Daniel Greene,https://www.youtube.com/@DanielGreeneReviews,20,True,0.0,
Captured in Words,https://www.youtube.com/@CapturedInWords,20,True,0.0,
Graham Stephan,https://www.youtube.com/@GrahamStephan,20,True,0.0,
The Money Guy Show,https://www.youtube.com/@MoneyGuyShow,19,True,0.0,
Patrick Boyle,https://www.youtube.com/@PBoyle,20,True,0.0,
Meet Kevin,https://www.youtube.com/@MeetKevin,20,True,0.0,
Ramit Sethi,https://www.youtube.com/@RamitSethi,20,True,0.0,
Zeihan on Geopolitics,https://www.youtube.com/@ZeihanonGeopolitics,20,True,0.0,
RAND,https://www.youtube.com/@TheRANDCorporation,20,True,20.0,
RealLifeLore,https://www.youtube.com/@RealLifeLore,20,True,0.0,
Cleo Abram,https://www.youtube.com/@CleoAbram,20,True,0.0,
ColdFusion,https://www.youtube.com/@ColdFusion,20,True,0.0,
MrMobile [Michael Fisher],https://www.youtube.com/@TheMrMobile,20,True,0.0,
SciShow,https://www.youtube.com/@SciShow,20,True,0.0,
Dr. Becky,https://www.youtube.com/@DrBecky,20,True,0.0,
Vsauce,https://www.youtube.com/@Vsauce,20,True,5.0,
The Take,https://www.youtube.com/@TheTake,20,True,0.0,
Brandon Sanderson,https://www.youtube.com/@BrandSanderson,20,True,10.0,
Hello Future Me,https://www.youtube.com/@HelloFutureMe,20,True,0.0,
Terrible Writing Advice,https://www.youtube.com/@TerribleWritingAdvice,20,True,0.0,
OverSimplified,https://www.youtube.com/@OverSimplified,20,True,5.0,
Gregory B. Sadler - That Philosophy Guy,https://www.youtube.com/@GregoryBSadler,20,True,0.0,
Wireless Philosophy,https://www.youtube.com/@WirelessPhilosophy,20,True,0.0,
The Why Files,https://www.youtube.com/@TheWhyFiles,20,True,0.0,
Bedtime Stories,https://www.youtube.com/@BedtimeStoriesChannel,20,True,0.0,
shane,https://www.youtube.com/@shane,20,True,0.0,
Bailey Sarian,https://www.youtube.com/@baileysarian,20,True,0.0,
Stephanie Harlowe,https://www.youtube.com/@StephanieHarlowe,20,True,0.0,
Kendall Rae,https://www.youtube.com/@KendallRae,20,True,0.0,
That Chapter,https://www.youtube.com/@ThatChapter,20,True,0.0,
MrBallen,https://www.youtube.com/@MrBallen,20,True,0.0,
Lazy Masquerade,https://www.youtube.com/@LazyMasquerade,20,True,0.0,
My First Million,https://www.youtube.com/@MyFirstMillionPod,20,True,0.0,
Dr. Tracey Marks,https://www.youtube.com/@DrTraceyMarks,20,True,0.0,
HealthyGamerGG,https://www.youtube.com/@HealthyGamerGG,20,True,0.0,
SciShow Psych,https://www.youtube.com/@SciShowPsych,20,True,0.0,
Psych2Go,https://www.youtube.com/@Psych2Go,20,True,5.0,
Ali Abdaal,https://www.youtube.com/@aliabdaal,20,True,0.0,
Thomas Frank,https://www.youtube.com/@ThomasFrank,20,True,0.0,
Huberman Lab,https://www.youtube.com/@hubermanlab,20,True,0.0,
Matt D'Avella,https://www.youtube.com/@mattdavella,20,True,0.0,
Science of People with Vanessa Van Edwards,https://www.youtube.com/channel/UCj9QBB4bNTv29f4oFIreNmw,20,True,30.0,
Jefferson Fisher,https://www.youtube.com/@jeffersonfisher,20,True,0.0,
Theo - t3.gg,https://www.youtube.com/@t3dotgg,20,True,0.0,
ThePrimeagen,https://www.youtube.com/@ThePrimeagen,20,True,0.0,
Andrej Karpathy,https://www.youtube.com/@AndrejKarpathy,17,True,11.8,
Yannic Kilcher,https://www.youtube.com/@YannicKilcher,20,True,0.0,
BibleProject,https://www.youtube.com/@bibleproject,20,True,5.0,
Tiago Forte,https://www.youtube.com/@TiagoForte,20,True,0.0,
Jeff Su,https://www.youtube.com/@JeffSu,20,True,0.0,
Nerdwriter1,https://www.youtube.com/@Nerdwriter1,20,True,0.0,
The Art Assignment,https://www.youtube.com/@theartassignment,20,True,0.0,
Rock N' Roll True Stories,https://www.youtube.com/@rnrtruestories,20,True,0.0,
Mic The Snare,https://www.youtube.com/@MicTheSnare,20,True,0.0,
Alex Hormozi,https://www.youtube.com/@AlexHormozi,20,True,5.0,
Iman Gadzhi,https://www.youtube.com/@ImanGadzhi,20,True,0.0,
Neil Patel,https://www.youtube.com/@neilpatel,20,True,0.0,
GaryVee,https://www.youtube.com/@garyvee,20,True,5.0,
Internet Historian,https://www.youtube.com/@InternetHistorian,20,True,0.0,
Peter McKinnon,https://www.youtube.com/@PeterMcKinnon,20,True,0.0,
Jessica Kobeissi,https://www.youtube.com/@JessicaKobeissi,20,True,0.0,
Overly Sarcastic Productions,https://www.youtube.com/@OverlySarcasticProductions,20,True,10.0,
The Lore Lodge,https://www.youtube.com/@TheLoreLodge,20,True,0.0,
See U in History / Mythology,https://www.youtube.com/@seeuinhistory,20,True,0.0,
Tony Robbins,https://www.youtube.com/@TonyRobbinsLive,20,True,5.0,
Abraham-Hicks Publications,https://www.youtube.com/user/AbrahamHicks,20,True,10.0,
Dr Joe Dispenza,https://www.youtube.com/@drjoedispenza,20,True,25.0,
leena norms,https://www.youtube.com/@leenanorms,20,True,0.0,
Benjamin McEvoy,https://www.youtube.com/@BenjaminMcEvoy,20,True,0.0,
Books and Things,https://www.youtube.com/@katiejlumsden,20,True,0.0,
Better Than Food,https://www.youtube.com/@BetterThanFoodBookReviews,20,True,0.0,
Todd V Dating,https://www.youtube.com/@ToddVDating,20,True,0.0,
Playing With Fire,https://www.youtube.com/@PlayingWithFireChannel,20,True,0.0,
Marni Your Personal Wing Girl,https://www.youtube.com/@marnikinrys,20,True,0.0,
Esther Perel,https://www.youtube.com/@estherperel,20,True,5.0,
Matthew Hussey,https://www.youtube.com/@thematthewhussey,20,True,0.0,
Call Her Daddy,https://www.youtube.com/@callherdaddy,20,True,0.0,
The Gottman Institute,https://www.youtube.com/@TheGottmanInstitute,20,True,5.0,
Self Made Millennial,https://www.youtube.com/@selfmademillennial,20,True,0.0,
Linda Raynier,https://www.youtube.com/@LindaRaynier,20,True,0.0,
Mob Fireside Chat - American Mafia History,https://www.youtube.com/@MobFiresideChat,20,True,10.0,
The Underworld Podcast,https://www.youtube.com/channel/UCaPBmfh3Dx84qKsUKNd5ZLg,20,True,0.0,
The Infographics Show,https://www.youtube.com/@TheInfographicsShow,20,True,0.0,
Mr. Nightmare,https://www.youtube.com/@mrnightmare,20,True,0.0,
Nick Crowley,https://www.youtube.com/@NickCrowley,20,True,0.0,
Nexpo,https://www.youtube.com/@nexpo,20,True,0.0,
ESOTERICA,https://www.youtube.com/@TheEsotericaChannel,20,True,5.0,
Weird History,https://www.youtube.com/@WeirdHistory,20,True,5.0,
Isaac Arthur,https://www.youtube.com/@isaacarthurSFIA,20,True,0.0,
Kurzgesagt – In a Nutshell,https://www.youtube.com/@kurzgesagt,20,True,5.0,
AI Explained,https://www.youtube.com/@aiexplained-official,20,True,0.0,
Technology Connections,https://www.youtube.com/@TechnologyConnections,20,True,0.0,
Asianometry,https://www.youtube.com/@Asianometry,20,True,0.0,
Company Man,https://www.youtube.com/@companyman114,20,True,0.0,
Primal Space,https://www.youtube.com/@primalspace,20,True,0.0,
Kings and Generals,https://www.youtube.com/@KingsandGenerals,20,True,0.0,
Mark Felton Productions,https://www.youtube.com/@MarkFeltonProductions,20,True,0.0,
Invicta,https://www.youtube.com/@InvictaHistory,20,True,0.0,
Stewart Hicks,https://www.youtube.com/@stewarthicks,20,True,0.0,
Smarthistory,https://www.youtube.com/@smarthistory-art-history,20,True,5.0,
Manuel Bravo,https://www.youtube.com/@ManuelBravo,20,True,5.0,
The Great American Western,https://www.youtube.com/@GreatAmericanWesterns,20,True,10.0,
mila tequila,https://www.youtube.com/@milatequila,16,True,0.0,
Cruel World Happy Mind,https://www.youtube.com/@cruelworldhappymind,20,True,0.0,
Spill Sesh,https://www.youtube.com/@SpillSesh,20,True,0.0,
The Rest Is History,https://www.youtube.com/@restishistorypod,20,True,0.0,
LegalEagle,https://www.youtube.com/@LegalEagle,20,True,0.0,
James Jani,https://www.youtube.com/@JamesJani,20,True,0.0,
Coin Bureau,https://www.youtube.com/@CoinBureau,20,True,0.0,
Finematics,https://www.youtube.com/@Finematics,20,True,0.0,
Paul Barron Network,https://www.youtube.com/@paulbarronnetwork,20,True,0.0,
Matt Wolfe,https://www.youtube.com/@mreflow,20,True,0.0,
All About AI,https://www.youtube.com/@AllAboutAI,20,True,0.0,
Dwarkesh Patel,https://www.youtube.com/@DwarkeshPatel,20,True,0.0,
Rachel and Jun,https://www.youtube.com/@RachelandJun,20,True,0.0,
Asian Boss,https://www.youtube.com/@AsianBoss,20,True,0.0,
Blondie in China,https://www.youtube.com/@BlondieinChina,20,True,0.0,
Simon Sinek,https://www.youtube.com/@simonsinek,20,True,35.0,
PolyMatter,https://www.youtube.com/@PolyMatter,20,True,0.0,
The School of Life,https://www.youtube.com/@theschooloflifetv,20,True,0.0,
Theo Von,https://www.youtube.com/@TheoVon,20,True,0.0,
